"Town_Name","Population","Total_Offenses","Offense_Rate","Violent_Crimes","Violent_Crime_Rate","Property_Crimes","Property_Crime_Rate"
"Marshall","10,591","458","43.2","23","2.2","207","19.5"
"Maud","1,077","67","62.2","3","2.8","30","27.9"
"Mayes","25,118","759","30.2","31","1.2","348","13.9"
"Maysville","1,233","13","10.5","0","0.0","6","4.9"
"McClain","14,666","606","41.3","31","2.1","249","17.0"
"McCurtain","510","21","41.2","4","7.8","8","15.7"
"McCurtain","20,074","324","16.1","12","0.6","198","9.9"
"McIntosh","13,454","469","34.9","19","1.4","215","16.0"
"McLoud","4,656","241","51.8","18","3.9","88","18.9"
"Medicine Park","447","19","42.5","0","0.0","11","24.6"
"Meeker","1,179","63","53.4","2","1.7","17","14.4"
"Miami","13,470","682","50.6","30","2.2","305","22.6"
"Minco","1,649","29","17.6","1","0.6","6","3.6"
"Moffett","121","11","90.9","0","0.0","0","0.0"
"Mooreland","1,240","46","37.1","0","0.0","7","5.6"
"Morris","1,464","30","20.5","3","2.0","8","5.5"
"Mounds","1,200","33","27.5","1","0.8","12","10.0"
"Mountain View","759","11","14.5","0","0.0","7","9.2"
"Muldrow","3,250","242","74.5","20","6.2","73","22.5"
"Murray","5,983","169","28.2","2","0.3","18","3.0"
"Nash","202","2","9.9","0","0.0","1","5.0"
"Newcastle","10,011","456","45.5","6","0.6","217","21.7"
"Newkirk","2,217","70","31.6","7","3.2","27","12.2"
"Nichols Hills","3,940","189","48.0","2","0.5","56","14.2"
"Nicoma Park","2,473","146","59.0","6","2.4","80","32.3"
"Ninnekah","1,033","8","7.7","0","0.0","4","3.9"
"Noble","6,799","334","49.1","13","1.9","108","15.9"
"Noble","5,789","184","31.8","7","1.2","92","15.9"
"Norman","124,074","7,683","61.9","289","2.3","3464","27.9"
"North Enid","922","18","19.5","0","0.0","4","4.3"
"Nowata","5,880","92","15.6","7","1.2","46","7.8"
"Nowata","3,709","295","79.5","11","3.0","91","24.5"
"Oilton","1,015","47","46.3","0","0.0","15","14.8"
"Okarche","1,343","9","6.7","0","0.0","4","3.0"
"Okemah","3,239","261","80.6","15","4.6","114","35.2"
"Okfuskee","6,684","162","24.2","10","1.5","80","12.0"
"Okmulgee","17,361","661","38.1","24","1.4","287","16.5"
"Okmulgee","12,183","330","27.1","14","1.1","141","11.6"
"Olustee","576","4","6.9","2","3.5","0","0.0"
"Oologah","1,182","21","17.8","0","0.0","16","13.5"
"Osage","25,168","1,086","43.2","51","2.0","400","15.9"
"Ottawa","14,185","378","26.6","22","1.6","179","12.6"
"Owasso","36,869","2,080","56.4","58","1.6","735","19.9"
"Paoli","616","0","0.0","0","0.0","0","0.0"
"Pauls Valley","6,225","698","112.1","20","3.2","305","49.0"
"Pawhuska","3,461","326","94.2","17","4.9","96","27.7"
"Pawnee","2,160","160","74.1","9","4.2","53","24.5"
"Payne","19,253","815","42.3","26","1.4","306","15.9"
"Perkins","2,841","269","94.7","4","1.4","62","21.8"
"Perry","5,000","294","58.8","11","2.2","97","19.4"
"Piedmont","7,738","142","18.4","6","0.8","33","4.3"
"Pittsburg","18,532","902","48.7","42","2.3","439","23.7"
"Pocola","4,073","92","22.6","7","1.7","34","8.3"
"Pond Creek","854","20","23.4","0","0.0","11","12.9"
"Porum","707","6","8.5","0","0.0","1","1.4"
